customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,Churn_Probability,Churn_Risk,Balance_Score,Products_Score,Activity_Score,Customer_Value_Score,Customer_Value_Level,Retention_Segment,Churn_Status,Activity_Status,Credit_Card_Status,Age_Group
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.5366906365389722,High,0.0,0.0,1,0.2,Low,High Risk - Low Value,Churned,Active,Has Credit Card,40–49
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.3615776393822075,Medium,0.334031478677259,0.0,1,0.3670157393386295,High,Medium Risk - High Value,Stayed,Active,No Credit Card,40–49
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.9621602808587735,High,0.6363571759354565,0.6666666666666667,0,0.5181785879677283,High,High Risk - High Value,Churned,Inactive,Has Credit Card,40–49
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.21523116291142363,Medium,0.0,0.3333333333333333,0,0.09999999999999999,Low,Medium Risk - Low Value,Stayed,Inactive,No Credit Card,30–39
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.2397388796931185,Medium,0.5002462155052676,0.0,1,0.4501231077526338,High,Medium Risk - High Value,Stayed,Active,Has Credit Card,40–49
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.4551107395473503,Medium,0.45339436422174445,0.3333333333333333,0,0.32669718211087223,High,Medium Risk - High Value,Churned,Inactive,Has Credit Card,40–49
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.18072358629272953,Medium,0.0,0.3333333333333333,1,0.3,High,Medium Risk - High Value,Stayed,Active,Has Credit Card,50–59
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9582336108197925,High,0.4585397202505608,1.0,0,0.5292698601252803,High,High Risk - High Value,Churned,Inactive,Has Credit Card,18–29
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.31411238554554816,Medium,0.5661703921301275,0.3333333333333333,1,0.5830851960650638,High,Medium Risk - High Value,Stayed,Active,No Credit Card,40–49
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.12113437417428931,Low,0.5364882610306042,0.0,1,0.4682441305153021,High,Low Risk - High Value,Stayed,Active,Has Credit Card,18–29
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.17559950563575663,Medium,0.4066062041365082,0.3333333333333333,0,0.3033031020682541,High,Medium Risk - High Value,Stayed,Inactive,No Credit Card,30–39
